cluster,n_offers,share_pct,label,dominant_sources,avg_text_len,has_title_pct,has_company_pct,has_location_pct,unique_urls
0,85,0.4706533776301218,Data Analyst / BI,"adzuna (85, 100.0%)",499.94117647058823,100.0,100.0,100.0,85
1,724,4.008859357696567,Data Engineer,"hellowork (724, 100.0%)",3999.839779005525,100.0,93.37016574585635,100.0,724
2,845,4.6788482834994465,Data Scientist / ML,"adzuna (845, 100.0%)",500.0,100.0,100.0,100.0,845
3,311,1.7220376522702103,Cloud / DevOps Data,"adzuna (311, 100.0%)",499.9903536977492,100.0,100.0,100.0,311
4,140,0.7751937984496124,Data Analyst / BI,"adzuna (140, 100.0%)",500.0,100.0,100.0,100.0,140
5,174,0.9634551495016611,Data Analyst / BI,"adzuna (174, 100.0%)",500.0,100.0,100.0,100.0,174
6,226,1.2513842746400885,Data Scientist / ML,"adzuna (226, 100.0%)",500.0,100.0,100.0,100.0,226
7,548,3.0343300110741973,Cloud / DevOps Data,"adzuna (548, 100.0%)",500.0,100.0,100.0,100.0,547
8,157,0.8693244739756367,Data Scientist / ML,"adzuna (157, 100.0%)",499.96815286624206,100.0,100.0,100.0,157
9,1219,6.749723145071982,Data Scientist / ML,"adzuna (1085, 89.0%) | france_travail (134, 11.0%)",723.0049220672682,100.0,94.17555373256768,100.0,1219
10,4503,24.93355481727575,Data Scientist / ML,"adzuna (4474, 99.4%) | france_travail (29, 0.6%)",506.3875194314901,100.0,99.04508105707306,100.0,4503
11,63,0.3488372093023256,Data Analyst / BI,"adzuna (63, 100.0%)",500.0,100.0,100.0,100.0,63
12,48,0.26578073089701,Quant / Finance,"adzuna (48, 100.0%)",500.0,100.0,100.0,100.0,48
13,106,0.5869324473975637,Data Analyst / BI,"adzuna (106, 100.0%)",500.0,100.0,100.0,100.0,106
14,75,0.4152823920265781,Software / Backend (data-related),"adzuna (75, 100.0%)",500.0,100.0,100.0,100.0,75
15,174,0.9634551495016611,Software / Backend (data-related),"adzuna (174, 100.0%)",500.0,100.0,100.0,100.0,174
16,139,0.769656699889258,Data Analyst / BI,"adzuna (137, 98.6%) | france_travail (2, 1.4%)",534.043165467626,100.0,100.0,100.0,139
17,889,4.922480620155039,Data Scientist / ML,"hellowork (889, 100.0%)",3998.726659167604,100.0,80.08998875140607,93.58830146231722,888
18,115,0.636766334440753,Data Scientist / ML,"adzuna (115, 100.0%)",500.0,100.0,100.0,100.0,115
19,139,0.769656699889258,Data Analyst / BI,"adzuna (139, 100.0%)",499.62589928057554,100.0,100.0,100.0,139
20,120,0.6644518272425249,Cloud / DevOps Data,"adzuna (120, 100.0%)",500.0,100.0,100.0,100.0,120
21,4575,25.33222591362126,Data Analyst / BI,"adzuna (4015, 87.8%) | france_travail (560, 12.2%)",691.575300546448,100.0,95.4535519125683,100.0,4574
22,140,0.7751937984496124,Data Analyst / BI,"adzuna (122, 87.1%) | france_travail (18, 12.9%)",922.5428571428571,100.0,91.42857142857143,100.0,140
23,101,0.5592469545957918,Data Analyst / BI,"adzuna (101, 100.0%)",500.0,100.0,100.0,100.0,101
24,2444,13.53266888150609,Data Engineer,"adzuna (2107, 86.2%) | france_travail (337, 13.8%)",760.3842062193125,100.0,94.72176759410802,100.0,2444
