title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
Chargé d'études : Data Analyst (h/f),Syndicat des eaux d'Ile-de-France (SEDIF),"79, boulevard Saint-Germain, Paris",CDD (3 ans renouvelable),partiel,,,False,"['Power BI / QlikView', 'ArcGIS / QGIS', 'FME', 'SQL', 'Python', 'PostgreSQL', 'Géomatique / Data Management', 'Data Visualisation']",2025-12-30
DATA ANALYSTE,COLLECTIVITE TERRITORIALE DE MARTINIQUE,"RUE GASTON DEFFERRE, Fort-de-France, Martinique (972)",Emploi permanent - vacance d'emploi,,,,False,"[""Maîtrise des techniques statistiques et méthodes d'analyse quantitative et qualitative"", ""Maîtrise des logiciels de traitement et d'analyse de données"", 'Maîtrise des outils bureautiques et collaboratifs', 'Connaissances du RGPD', 'Connaissances du fonctionnement des Collectivités territoriales', 'Travail en transversalité', 'Conception et organisation de bases de données', ""Rédaction d'avis et rapports d'aide à la décision"", ""Réalisation d'études techniques et économiques"", 'Rigueur', ""Sens de l'organisation et de l'initiative"", ""Sens d'analyse"", 'Esprit de synthèse']",2025-12-15
ANALYSTE DES DONNEES,Communauté d'Agglomération Melun Val de Seine,Dammarie-les-Lys (Seine-et-Marne (77)),Emploi permanent - création d'emploi,partiel,,,False,"['SQL', 'OpenData', 'SIG (Mapinfo, GEO, QGIS, pgAdmin)', 'Data visualisation (PowerBI, Opendatasoft)', 'Analyse statistique et spatiale', 'Bureautique (Word, Excel, Access)', 'Gestion de bases de données', 'HTML/CSS/PHP (notions)', 'Administration de plateforme OpenData (OpenDataSoft, Koumoul)']",2025-11-13
Analyste de données (H/F),Service Départemental d'Incendie et de Secours de Val-d'Oise (SDIS 95),"33 Rue des Moulines, Neuville-sur-Oise (Val-d'Oise (95))",CDD 36 mois renouvelable,partiel,Selon grilles indiciaires du grade et régime indemnitaire du poste,,False,"['Power BI', 'Business Objects (BO)', 'Excel avancé', 'SQL', 'Analyse et synthèse', 'Vulgarisation des résultats', 'Travail en équipe']",2025-12-17
Rédacteur ou technicien en charge du déploiement de l'intelligence artificielle,Communauté de communes de Montesquieu,"1 allée Jean Rostand, Martillac (Gironde (33))",Emploi permanent - création d'emploi,,rémunération statutaire et avantages sociaux,,False,"['Maîtrise du fonctionnement et de l’organisation des collectivités territoriales', 'Connaissance des enjeux de l’IA', 'Maîtrise du cadre juridique', 'Conduite de projets', 'Travail en transversalité et en mode projet', 'Vulgarisation des concepts techniques', 'Accompagnement au changement', 'Autonomie', 'Rigueur', 'Organisation', 'Réactivité', 'Sens du service public', 'Force de proposition et d’initiative', 'Capacités d’analyse et de synthèse', 'Bonnes qualités rédactionnelles', 'Sens de l’écoute et du travail en équipe']",2025-12-26
CONTRÔLEUR DE GESTION - ANALYSTE DE DONNÉES (F/H),Communauté Urbaine Caen La Mer,"16 rue Rosa Parks - CS 52700, Caen (Calvados (14))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Exploitation des bases de données', 'Logiciels de data visualisation (Power BI)', 'Analyse financière en comptabilité privée et publique', 'Contrôle de gestion', 'Techniques de recueil, traitement et exploitation des données', 'Maîtrise des règles budgétaires et comptabilité publique', 'Comptabilité analytique', 'Connaissance juridique des collectivités territoriales']",2025-12-22
Chargé de mission data et administrateur applicatif,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),,,,False,"['Big Data', 'Outils d’analyse (Excel, BI, SAS, Python, Tableau/PowerBI, DigDash)', 'Gestion de projets', 'Méthodologie Agile', 'RGPD', 'Conduite du changement', 'Veille technologique', 'Analyse de données', 'Reporting']",2026-01-06
"Référente en charge de la Gouvernance des Données, de la Mutualisation et du Développement Coopératif",COMMUNAUTE DE COMMUNES DU CANTON D'ERSTEIN,"1 rue des 11 communes - BP 50057, Benfeld (Bas-Rhin (67))",Emploi permanent - création d'emploi,non,,,True,"['Gouvernance des données', 'RGPD/DPO', 'Mutualisation', 'Développement coopératif', 'Veille réglementaire', 'Gestion administrative', 'Coordination de projets', 'Rédaction de rapports']",2025-12-31
Administrateur de bases de données et système décisionnel,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),CDD,partiel,,2.0,False,"['Maîtrise des SGBD (Oracle, SQL Server, PostgreSQL, etc.)', 'Langage SQL', 'Environnement Linux', 'Langages de script (Python)', 'Outils ETL/BI (Business Objects, BODS)', 'Gestion de projet (Agile, cycle en V)']",2025-12-19
Chef de projet IA et DATA (F/H),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets complexes', 'Maîtrise des fondamentaux de la data (modélisation, qualité, gouvernance, sécurité)', 'Maîtrise des architectures Data & Analytics', 'Maîtrise des concepts IA/ML (cas d’usage, modèles, Machine Learning)', 'Conformité réglementaire (RGPD, HDS)', 'Maîtrise des outils DELIBIA, COPILOT, PRISME AI', 'Leadership transversal et coordination d’équipes pluridisciplinaires']",2025-12-19
