k,inertia,silhouette
5,16770.399455755796,0.0450471730584413
6,16476.113458782005,0.05203717729351452
7,16410.80096854621,0.054830481117511196
8,16498.10688781513,0.04925033957998484
9,16478.797030909565,0.049792119062636156
10,16354.8285862055,0.05454795502538038
11,16387.605064228228,0.04530739462748941
12,16349.28482713439,0.04321972941296038
13,16216.907039175163,0.0483985863737342
14,16190.515622502106,0.049076423384165624
15,16148.301182399946,0.05039749743786401
16,16054.014523974502,0.054386176388465705
17,15988.854741782292,0.05684330469679202
18,15943.853351919632,0.058994200554877904
19,15874.746640518471,0.061041883674250834
20,15792.679245845138,0.06501622150377444
21,15681.2382075891,0.06874626028959128
22,15633.591185950765,0.07025663038916173
23,15535.221747277243,0.0750217400528247
24,15603.070228688219,0.07136961782978817
25,15545.909695230876,0.07400154144946523
26,15458.208427436191,0.07798732688246382
27,15447.873053781996,0.07841736301128438
28,15360.371302637697,0.0817169939833245
29,15353.686931054552,0.08191855632264272
30,15281.972721078517,0.08625046608333053
31,15288.223603047327,0.08496794965771147
32,15239.951445980065,0.08620625966638237
33,15228.031464455771,0.08662780698999942
34,15160.725055016335,0.09020568422112854
35,15176.306014599517,0.0884050550375613
36,15206.10444201369,0.08711632417485626
37,15137.024651440037,0.0906133410082072
38,15115.16657125956,0.09108957927610681
39,15052.909740680325,0.09374996542214073
40,15023.375645329546,0.09475771425174696
