cluster_id,cluster_label,skill,count,share_in_cluster
0,Data Analyst / BI,r,3,0.03529411764705882
1,Data Engineer,python,259,0.35773480662983426
1,Data Engineer,sql,231,0.319060773480663
1,Data Engineer,mlmachine learning,160,0.22099447513812154
1,Data Engineer,gcpgcp,137,0.18922651933701656
1,Data Engineer,aws,137,0.18922651933701656
1,Data Engineer,sparkpyspark,126,0.17403314917127072
1,Data Engineer,azure,121,0.1671270718232044
1,Data Engineer,powersbi,96,0.13259668508287292
1,Data Engineer,snowflake,85,0.11740331491712708
1,Data Engineer,r,85,0.11740331491712708
1,Data Engineer,scala,64,0.08839779005524862
1,Data Engineer,airflow,61,0.08425414364640885
1,Data Engineer,dbt,56,0.07734806629834254
1,Data Engineer,kubernetesk8s,55,0.07596685082872928
1,Data Engineer,java,52,0.0718232044198895
1,Data Engineer,docker,50,0.06906077348066299
1,Data Engineer,bigquery,48,0.06629834254143646
1,Data Engineer,tableau,46,0.06353591160220995
1,Data Engineer,kafka,39,0.05386740331491713
1,Data Engineer,hadoop,35,0.04834254143646409
1,Data Engineer,llm,32,0.04419889502762431
1,Data Engineer,deep learning,30,0.04143646408839779
1,Data Engineer,excel,26,0.03591160220994475
1,Data Engineer,nlp,25,0.034530386740331494
1,Data Engineer,pandas,20,0.027624309392265192
6,Data Scientist / ML,aws,4,0.017699115044247787
6,Data Scientist / ML,mlmachine learning,3,0.01327433628318584
6,Data Scientist / ML,rag,3,0.01327433628318584
6,Data Scientist / ML,r,2,0.008849557522123894
6,Data Scientist / ML,powersbi,2,0.008849557522123894
6,Data Scientist / ML,llm,2,0.008849557522123894
8,Data Scientist / ML,nlp,1,0.006369426751592357
8,Data Scientist / ML,r,1,0.006369426751592357
9,Data Scientist / ML,mlmachine learning,279,0.22887612797374898
9,Data Scientist / ML,llm,172,0.14109926168990977
9,Data Scientist / ML,python,136,0.11156685808039377
9,Data Scientist / ML,rag,117,0.09598031173092698
9,Data Scientist / ML,nlp,96,0.07875307629204266
9,Data Scientist / ML,r,95,0.07793273174733388
9,Data Scientist / ML,deep learning,88,0.07219031993437244
9,Data Scientist / ML,gcpgcp,56,0.04593929450369155
9,Data Scientist / ML,azure,56,0.04593929450369155
9,Data Scientist / ML,aws,42,0.034454470877768664
9,Data Scientist / ML,pytorch,37,0.030352748154224774
9,Data Scientist / ML,tensorflow,35,0.02871205906480722
9,Data Scientist / ML,sql,34,0.02789171452009844
9,Data Scientist / ML,docker,25,0.020508613617719443
9,Data Scientist / ML,kubernetesk8s,23,0.018867924528301886
9,Data Scientist / ML,computer vision,22,0.01804757998359311
9,Data Scientist / ML,javascriptjs,18,0.014766201804757998
9,Data Scientist / ML,scikit[- ]learn,17,0.01394585726004922
9,Data Scientist / ML,java,15,0.012305168170631665
9,Data Scientist / ML,pandas,14,0.011484823625922888
9,Data Scientist / ML,sparkpyspark,13,0.01066447908121411
9,Data Scientist / ML,powersbi,11,0.009023789991796555
9,Data Scientist / ML,fastapi,11,0.009023789991796555
9,Data Scientist / ML,transformers,8,0.006562756357670222
9,Data Scientist / ML,typescriptts,8,0.006562756357670222
10,Data Scientist / ML,mlmachine learning,269,0.059737952476127024
10,Data Scientist / ML,r,143,0.03175660670664002
10,Data Scientist / ML,computer vision,110,0.024428159005107707
10,Data Scientist / ML,deep learning,72,0.015989340439706862
10,Data Scientist / ML,aws,59,0.01310237619364868
10,Data Scientist / ML,python,48,0.010659560293137908
10,Data Scientist / ML,nlp,28,0.00621807683766378
10,Data Scientist / ML,llm,27,0.005996002664890073
10,Data Scientist / ML,snowflake,24,0.005329780146568954
10,Data Scientist / ML,gcpgcp,17,0.003775260937153009
10,Data Scientist / ML,azure,15,0.0033311125916055963
10,Data Scientist / ML,rag,11,0.0024428159005107706
10,Data Scientist / ML,kubernetesk8s,11,0.0024428159005107706
10,Data Scientist / ML,sql,10,0.0022207417277370642
10,Data Scientist / ML,sparkpyspark,9,0.001998667554963358
10,Data Scientist / ML,java,9,0.001998667554963358
10,Data Scientist / ML,javascriptjs,7,0.001554519209415945
10,Data Scientist / ML,powersbi,6,0.0013324450366422385
10,Data Scientist / ML,mongodb,6,0.0013324450366422385
10,Data Scientist / ML,fastapi,5,0.0011103708638685321
10,Data Scientist / ML,mysql,4,0.0008882966910948257
10,Data Scientist / ML,excel,3,0.0006662225183211193
10,Data Scientist / ML,typescriptts,3,0.0006662225183211193
10,Data Scientist / ML,pandas,2,0.00044414834554741284
10,Data Scientist / ML,postgrespostgresql,2,0.00044414834554741284
13,Data Analyst / BI,r,3,0.02830188679245283
16,Data Analyst / BI,sql,2,0.014388489208633094
16,Data Analyst / BI,sparkpyspark,2,0.014388489208633094
16,Data Analyst / BI,python,1,0.007194244604316547
16,Data Analyst / BI,powersbi,1,0.007194244604316547
16,Data Analyst / BI,tableau,1,0.007194244604316547
16,Data Analyst / BI,postgrespostgresql,1,0.007194244604316547
16,Data Analyst / BI,scikit[- ]learn,1,0.007194244604316547
16,Data Analyst / BI,pandas,1,0.007194244604316547
16,Data Analyst / BI,scala,1,0.007194244604316547
16,Data Analyst / BI,java,1,0.007194244604316547
16,Data Analyst / BI,azure,1,0.007194244604316547
17,Data Scientist / ML,python,357,0.4015748031496063
17,Data Scientist / ML,sql,357,0.4015748031496063
17,Data Scientist / ML,powersbi,218,0.2452193475815523
17,Data Scientist / ML,mlmachine learning,201,0.22609673790776152
17,Data Scientist / ML,azure,133,0.14960629921259844
17,Data Scientist / ML,excel,120,0.13498312710911137
17,Data Scientist / ML,gcpgcp,119,0.13385826771653545
17,Data Scientist / ML,r,117,0.13160854893138357
17,Data Scientist / ML,aws,114,0.12823397075365578
17,Data Scientist / ML,tableau,100,0.1124859392575928
17,Data Scientist / ML,sparkpyspark,97,0.10911136107986502
17,Data Scientist / ML,java,91,0.10236220472440945
17,Data Scientist / ML,deep learning,62,0.06974128233970754
17,Data Scientist / ML,airflow,60,0.06749156355455568
17,Data Scientist / ML,docker,55,0.06186726659167604
17,Data Scientist / ML,scala,50,0.0562429696287964
17,Data Scientist / ML,kubernetesk8s,49,0.05511811023622047
17,Data Scientist / ML,snowflake,46,0.05174353205849269
17,Data Scientist / ML,bigquery,43,0.048368953880764905
17,Data Scientist / ML,nlp,42,0.047244094488188976
17,Data Scientist / ML,llm,41,0.04611923509561305
17,Data Scientist / ML,pandas,36,0.04049493813273341
17,Data Scientist / ML,dbt,36,0.04049493813273341
17,Data Scientist / ML,pytorch,35,0.03937007874015748
17,Data Scientist / ML,postgrespostgresql,33,0.03712035995500562
19,Data Analyst / BI,r,9,0.06474820143884892
19,Data Analyst / BI,computer vision,5,0.03597122302158273
21,Data Analyst / BI,sql,162,0.03540983606557377
21,Data Analyst / BI,r,161,0.03519125683060109
21,Data Analyst / BI,python,124,0.027103825136612022
21,Data Analyst / BI,mlmachine learning,102,0.022295081967213116
21,Data Analyst / BI,powersbi,75,0.01639344262295082
21,Data Analyst / BI,excel,66,0.014426229508196721
21,Data Analyst / BI,java,66,0.014426229508196721
21,Data Analyst / BI,javascriptjs,61,0.013333333333333334
21,Data Analyst / BI,postgrespostgresql,41,0.008961748633879782
21,Data Analyst / BI,docker,29,0.00633879781420765
21,Data Analyst / BI,kubernetesk8s,26,0.0056830601092896175
21,Data Analyst / BI,mysql,24,0.005245901639344262
21,Data Analyst / BI,gcpgcp,23,0.005027322404371585
21,Data Analyst / BI,sparkpyspark,19,0.004153005464480874
21,Data Analyst / BI,azure,19,0.004153005464480874
21,Data Analyst / BI,rag,18,0.003934426229508197
21,Data Analyst / BI,tableau,18,0.003934426229508197
21,Data Analyst / BI,llm,17,0.003715846994535519
21,Data Analyst / BI,deep learning,15,0.003278688524590164
21,Data Analyst / BI,typescriptts,15,0.003278688524590164
21,Data Analyst / BI,mongodb,14,0.0030601092896174863
21,Data Analyst / BI,hadoop,13,0.0028415300546448087
21,Data Analyst / BI,aws,12,0.002622950819672131
21,Data Analyst / BI,pytorch,11,0.0024043715846994535
21,Data Analyst / BI,kafka,11,0.0024043715846994535
22,Data Analyst / BI,python,13,0.09285714285714286
22,Data Analyst / BI,java,13,0.09285714285714286
22,Data Analyst / BI,sql,12,0.08571428571428572
22,Data Analyst / BI,sparkpyspark,10,0.07142857142857142
22,Data Analyst / BI,scala,9,0.06428571428571428
22,Data Analyst / BI,hadoop,9,0.06428571428571428
22,Data Analyst / BI,r,8,0.05714285714285714
22,Data Analyst / BI,kafka,8,0.05714285714285714
22,Data Analyst / BI,azure,7,0.05
22,Data Analyst / BI,powersbi,4,0.02857142857142857
22,Data Analyst / BI,aws,4,0.02857142857142857
22,Data Analyst / BI,gcpgcp,4,0.02857142857142857
22,Data Analyst / BI,kubernetesk8s,3,0.02142857142857143
22,Data Analyst / BI,tableau,2,0.014285714285714285
22,Data Analyst / BI,docker,2,0.014285714285714285
22,Data Analyst / BI,snowflake,1,0.007142857142857143
22,Data Analyst / BI,mlmachine learning,1,0.007142857142857143
22,Data Analyst / BI,postgrespostgresql,1,0.007142857142857143
24,Data Engineer,powersbi,298,0.12193126022913257
24,Data Engineer,sql,291,0.1190671031096563
24,Data Engineer,python,247,0.10106382978723404
24,Data Engineer,mlmachine learning,226,0.09247135842880523
24,Data Engineer,gcpgcp,178,0.07283142389525368
24,Data Engineer,azure,167,0.06833060556464812
24,Data Engineer,snowflake,135,0.05523731587561375
24,Data Engineer,aws,130,0.05319148936170213
24,Data Engineer,sparkpyspark,117,0.047872340425531915
24,Data Engineer,tableau,97,0.03968903436988543
24,Data Engineer,dbt,83,0.033960720130932896
24,Data Engineer,r,73,0.029869067103109655
24,Data Engineer,scala,56,0.022913256955810146
24,Data Engineer,deep learning,53,0.021685761047463174
24,Data Engineer,airflow,52,0.02127659574468085
24,Data Engineer,bigquery,50,0.020458265139116204
24,Data Engineer,excel,45,0.018412438625204582
24,Data Engineer,nlp,40,0.016366612111292964
24,Data Engineer,kafka,38,0.015548281505728314
24,Data Engineer,hadoop,34,0.013911620294599018
24,Data Engineer,java,34,0.013911620294599018
24,Data Engineer,docker,28,0.011456628477905073
24,Data Engineer,kubernetesk8s,23,0.009410801963993453
24,Data Engineer,tensorflow,17,0.006955810147299509
24,Data Engineer,scikit[- ]learn,14,0.0057283142389525366
