source,offer_id,url,title,company,location,published_date,contract_type,salary,query,description
france-travail-api,201WDCS,https://candidat.francetravail.fr/offres/recherche/detail/201WDCS,Data Scientist - H/F - CDI (H/F),POLYCEA,75 - PARIS 09,2025-12-23T12:11:01.489Z,CDI,Mensuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois,data scientist,"Intégré(e) au sein de l'équipe Data, vous participerez à toutes les phases de nos missions clients : cadrage des besoins, data management, modélisation (choix et tests des algorithmes les plus pertinents), implémentation et déploiement des solutions retenues.

Entouré(e) de nos experts, vous monterez rapidement en compétence sur les technologies suivantes : Python (Scikit-learn, pandas, ...), MongoDB, ElasticSearch et participerez au développement de nouveaux produits innovants dans le cadre de notre Datalab.

Quelques exemples de missions :

- Stratégie ""anti-churn"" d'un grand média français et mise en œuvre des solutions techniques pour retenir ses clients,
- Développement et commercialisation en SaaS d'un système de gestion intelligente de la politique de stationnement pour une centaine de villes en France,
- Solution d'optimisation du pricing des produits vendus via une plateforme de ventes aux enchères en ligne,
- Maximisation du taux d'ouverture de mails pour les clients d'une start-up spécialiste de l'e-mailing en Saas,
- Algorithmes de détection de fraude auprès d'assureurs.

Votre profil :

Issu(e) d'une Grande école d'ingénieurs, vous justifiez d'une première expérience professionnelle sur des problématiques data (stage ou premier emploi). Passionné(e) par les nouvelles technologies et friand de code, vous êtes familier avec un langage de programmation à vocation analytique (Python, R, Scala ...). Une expérience en développement logiciel est un plus. Avoir suivi un MOOC (ex : Udemy) spécialisé en Big data est également apprécié. 

Enfin, vous êtes conscient que la modélisation ne représente que 10 à 15% maximum du temps passé sur nos projets et ne sera pas au cœur de vos missions. 

A votre arrivée, vous bénéficiez d'un parcours guidé de formation propre à l'équipe Data. Nous finançons entre autres des formations AWS. Via notre PolyAcademy, nous vous donnons également accès à un large panel de formations, aussi bien techniques que business, en vue de faciliter votre montée en compétences et de créer des ponts entre nos différents métiers.

La maîtrise de la langue française à l'écrit et à l'oral est indispensable."
france-travail-api,201TJVJ,https://candidat.francetravail.fr/offres/recherche/detail/201TJVJ,Data scientist (H/F),,51 - EPERNAY,2025-12-19T15:58:20.901Z,CDI,Annuel de 35000.0 Euros à 50000.0 Euros sur 12.0 mois,data scientist,"Missions:
Définir des stratégies de sélection d'images destinées à l'entraînement de modèles de deep learning, en lien avec les besoins de projets IA
Vérifier la cohérence et la qualité générale des données
Analyser l'impact des données sur les performances et la robustesse des modèles
Collaborer avec des équipes techniques et métiers impliquées dans le développement de solutions IA
Profil recherché:
Connaissances en deep learning (TensorFlow, PyTorch) et en analyse de données
Rigueur et sens du détail
Intérêt pour la recherche
Formation bac+5 voire doctorat en computer science"
france-travail-api,201TJTY,https://candidat.francetravail.fr/offres/recherche/detail/201TJTY,Data Scientist (H/F),LIDL,92 - CHATENAY MALABRY,2025-12-19T15:57:54.169Z,CDI,Mensuel de 3371.0 Euros à 3372.0 Euros sur 13.0 mois,data scientist,"Introduction

Travailler chez Lidl, c'est bien plus qu'un job ! En rejoignant l'équipe Data & AI au sein du service contrôle de gestion, tu participeras à l'amélioration de l'activité de Lidl France à travers des projets data science à fort impact opérationnel.

Missions

Afin d'atteindre tes objectifs en tant que Data Scientist, tes missions quotidiennes seront :
- Collaborer avec les services métier pour comprendre leurs besoins et concevoir les solutions data appropriées,
- Concevoir et développer des modèles de machine learning (modèles de prédiction et d'optimisation) pour améliorer les processus opérationnels,
- Accompagner et faciliter la mise en place de solutions internes en lien avec la gestion et l'exploitation des données,
- Automatisation et amélioration de processus à l'aide d'outils plus performants (Python, SQL, AppScripts, Looker, etc.)
- Curiosité pour explorer et proposer des cas d'usage pertinents de l'IA pour nos activités.

Profil

Au-delà de tes expériences professionnelles, nous recherchons avant tout une personnalité.

- Tu es reconnu(e) pour ton organisation, ta rigueur et ta capacité d'analyse ?
- Tu es doté(e) d'un bon relationnel, tu es autonome et aimes travailler en équipe ?

Si tu as répondu oui à ces questions, alors n'hésite pas à rejoindre la #TeamLidl.

Pour candidater à un poste de Data Scientist, il te faudra :

- Être diplômé(e) d'une école d'Ingénieur/université spécialisée dans le domaine de la science des données
- Avoir au moins 2 ans d'expérience (hors alternance) dans un poste de data scientist
- Avoir une maitrise avancée des langages de programmation Python et SQL et de ses bibliothèques
- Avoir une solide compréhension théorique ainsi qu'une application pratique des algorithmes de Machine Learning et de Deep Learning.
- Avoir une bonne compréhension des concepts fondamentaux des modèles de langage (LLMs) et de l'IA générative, une première expérience utilisant les API de ces modèles est un plus.
- Être doté d'une bonne capacité à traduire des analyses complexes en visualisations claires et pertinentes à l'aide d'outils de Data Visualisation.
- Avoir une expérience pratique avec la suite GCP.
- Parler couramment l'anglais, l'allemand est un plus.


Rejoindre Lidl

Nous reconnaissons le travail et l'investissement de chacun en te proposant :

- Un poste en CDI, en statut Cadre, au sein de notre Siège à Châtenay-Malabry,
- Une rémunération de 3372€ brut sur 13 mois,
- Un accord télétravail : 2 jours par semaine après 3 mois d'ancienneté.
- Un restaurant d'entreprise et une cafeteria.
- Une salle de sport avec 3 espaces : fitness, CrossFit, cours collectifs.
- Une formation à notre concept et à nos outils.
 
 Rejoindre Lidl, c'est également rejoindre une entreprise certifiée TOP Employer depuis 2019 ! Ce Label récompense notre politique RH, nos engagements en termes d'égalité Femme/Homme, de diversité & d'inclusion, mais également le travail de nos équipes sur le terrain au quotidien. 

Tous nos postes sont ouverts aux personnes en situation de handicap. Selon les besoins spécifiques de chacun, un aménagement matériel et/ou organisationnel du poste de travail sera étudié."
france-travail-api,201SKCC,https://candidat.francetravail.fr/offres/recherche/detail/201SKCC,Ingénieur / Ingénieure data scientist (H/F),CONSORT FRANCE,75 - Paris (Dept.),2025-12-18T16:45:40.979Z,CDI,Annuel de 55000.0 Euros à 60000.0 Euros sur 12.0 mois,data scientist,"Ingénieur MLOps H/F

C'est votre mission

Vous êtes passionné-e par l'industrialisation et l'orchestration des modèles d'intelligence artificielle ? Ce poste est fait pour vous.

En tant qu'Ingénieur MLOps, vous êtes responsable du déploiement et de la migration des pipelines de machine learning.

Côté build :

Concevoir et automatiser les pipelines MLOps sur GCP Vertex AI.
Participer à la migration des environnements AWS Bedrock vers GCP.
Industrialiser le cycle de vie des modèles (entraînement, évaluation, déploiement, monitoring).
Mettre en place l'infrastructure as code (Terraform, Cloud Build, etc.).
Développer des scripts et outils en Python pour l'intégration et l'automatisation des workflows.
Gérer les dépôts et flux de travail via Git / GitLab CI/CD.
Collaborer avec les équipes Data Science pour assurer la scalabilité et la performance des modèles.

Côté run :

Surveiller et optimiser les performances des pipelines et des modèles déployés.
Gérer les environnements de production sur Vertex AI et GCP (Compute, Storage, IAM).
Assurer la fiabilité, la sécurité et la disponibilité des systèmes ML.
Mettre en place le monitoring et les alertes (Stackdriver, Prometheus, etc.).
Identifier et corriger les incidents liés aux workflows de ML ou aux ressources cloud.
Contribuer à l'amélioration continue des pratiques MLOps au sein de l'équipe."
france-travail-api,201RYPX,https://candidat.francetravail.fr/offres/recherche/detail/201RYPX,Data scientist / pharmaco-épidémiologiste (H/F),,75 - PARIS,2025-12-18T11:48:59.069Z,CDD - 12 Mois,selon profil,data scientist,"Mission générale :
Le data scientist collabore avec les investigateurs et les autres data scientist / biostatisticiens du GHU à tous les stades de l'exploitation de l'Entrepôt de Données de Santé de l'AP-HP et de la base de l'Assurance Maladie (SNDS): explicitation de la demande, mise au point du protocole de requêtage, réalisation de la requête, contrôle de la qualité des données, réalisation d'analyses, présentation des données, rédaction du rapport, diffusion des résultats. Il interagit avec l'équipe de développement de l'EDS pour garantir la fiabilité des processus d'extraction et d'alimentation de l'entrepôt.

Missions détaillées : 
Identification et construction de variables d'intérêt à partir de données massives issues de l'EDS et du SNDS, en concertation avec les médecins cliniciens, épidémiologistes et DIM. Participation au choix des nomenclatures, des sources de données externes et à la production du référentiel de données. Veille scientifique sur les méthodes informatiques et statistiques d'analyse des données massives ou non structurées
Réalisation d'analyses statistiques sur données massives dont analyse de données longitudinales, de données censurées, datamining (sélection de variables, régularisation de modèle), analyse de trajectoires, modèles causaux, .
Analyse méthodologique des études : analyse critique de la littérature, définition du plan expérimental, choix des critères de sélection et critères de jugement, modalités de recueil des données médicales et de suivi des patients, planification des analyses et calcul du nombre de sujets nécessaire
Rédaction du rapport, aide à la valorisation et à l'écriture des articles : présentation des résultats et rédaction des parties méthodes et résultats des articles scientifiques, rédaction des rapports d'analyse.
Mise en place de procédures de contrôle et d'assurance-qualité des données. Mise en place de bonnes pratiques d'usage de l'EDS
Veille réglementaire
Participation à la vie de l'URC et prise en charge des missions collectives ou transversales
Participation aux évènement scientifiques de l'équipe de recherche
Participation aux groupes de travail mis en place par la DRCI ou l'URC relevant de sa compétence 
Formation de ses collègues, animation de séminaires

Savoir-faire requis
Formation en statistique, analyse de données et méthodologie de la recherche
Méthodes et pratique en recherche clinique, épidémiologique, et en bases de données décisionnelles
Maîtrise des principaux logiciels statistiques et de la programmation (R et/ou SAS, Python est également bienvenu)
Connaître la législation relative à la recherche (Code Santé Publique), le traitement automatisé des données et la confidentialité (Informatique et Libertés, CNIL) ainsi que la réglementation (Bonnes Pratiques Cliniques)
Savoir valider, interpréter et présenter les données
Savoir juger de la qualité méthodologique des articles scientifiques

Connaissances associées
Connaissance du milieu de la santé, du système d'information médico-administratif de l'AP-HP et national (SNDS)
Connaissance de l'anglais 
Ethique et déontologie médicale de la recherche clinique

Savoir être requis
Disponibilité
Rigueur
Curiosité intellectuelle
Facilité de contact
Aptitude à travailler en équipe"
france-travail-api,201PLPJ,https://candidat.francetravail.fr/offres/recherche/detail/201PLPJ,DATA SCIENTIST JUNIOR POUR PROJET DE RECHERCHE EN PSYCHIATRIE (H/F),CENTRE HOSPITALIER SAINTE ANNE,75 - PARIS 14,2025-12-16T11:25:13.900Z,CDD - 12 Mois,Mensuel de 2305.0 Euros à 3452.0 Euros sur 12.0 mois,data scientist,"Nous recherchons un(e) Data Scientist junior pour rejoindre l'unité Data du GHU Paris Psychiatrie & Neurosciences, qui travaille sur l'Entrepôt de Données de Santé (EDS) et les projets de valorisation des données de santé. 
Cette unité Data est dans la Direction de l'Innovation Technologique et du Système d'Information (DITSI) et se compose actuellement d'une responsable et de deux Data Scientist junior.

Le/la Data Scientist junior participera à deux projets principaux :

Projet 1 : Accès aux données SNDS
Objectif : Obtenir l'accès aux données du Système National des Données de Santé (SNDS) afin de permettre des analyses complémentaires sur les cohortes nationales

Missions principales :
Identifier et formaliser les besoins en données
Rédiger la demande d'autorisation CNIL pour l'accès aux données SNDS
Collaborer avec les équipes juridiques, éthiques, et informatiques pour s'assurer de la conformité de la demande
Suivre le processus de validation avec la CNIL et adapter la demande en fonction des retours

Projet 2 : Traitement du langage naturel (NLP) pour variables sociodémographiques
Objectif : Développer et valider la création de variables sociodémographiques (statut marital, mode de vie, niveau d'études, etc.) à partir des données textuelles de l'EDS

Missions principales :
Extraire et mettre en qualité les données textuelles de l'EDS
Développer des méthodes de NLP pour identifier et coder les informations sociodémographiques
Valider la qualité et la robustesse des variables créées
Collaborer avec les équipes cliniques et scientifiques pour interpréter les résultats et rédiger des rapports

Suivant l'avancé et le planning de ces deux projets principaux, le/la Data Scientist junior pourra également participer aux autres missions de l'unité Data (production d'analyses pour projet de recherche ou indicateurs de pilotage).

PROFIL  
-Master, école d'ingénieur ou Doctorat en Data Science, Biostatistique, ou domaine connexe
- Compétences en Python, avec une maîtrise des bibliothèques d'analyse de données (Pandas, Scikit-learn, etc.)
- Connaissance des bases de données relationnelles 
- Une expérience en traitement du langage naturel (NLP) et en analyse de textes médicaux 
- Des connaissances en statistiques serait un plus
- Personne motivée par le sujet de la data science et par l'environnement d'un établissement de santé en psychiatrie
- Autonome et sens de l'initiative
- Rigueur, esprit d'analyse et compétences organisationnelles
- Respect des obligations de discrétion et de confidentialité des données

PROCESSUS DE RECRUTEMENT

- Étape 1 : Analyse des candidatures et présélection sur dossier
- Étape 2 : Entretien avec la responsable de l'Unité Data pour évaluer les compétences techniques et scientifiques
- Étape 3 : Entretien final avec la DSI pour valider l'adéquation au poste et aux missions
- Étape 4 : Confirmation de l'embauche et intégration dans l'équipe"
france-travail-api,201NQYN,https://candidat.francetravail.fr/offres/recherche/detail/201NQYN,Data Scientist H/F (H/F),RCA REALISATIONS POUR LA COMPTABILITE ET,44 - Saint-Herblain,2025-12-15T15:39:51.924Z,CDI,selon profil,data scientist,"Description de l'entreprise

Editeur de logiciels 100% autonome, basé en périphérie de Nantes, RCA développe deux gammes de logiciels : Une gamme de 12 modules à destination des cabinets d'expertise comptable et une plateforme digitale collaborative en mode SaaS destinée aux experts-comptables ainsi qu'à leurs clients (TPE). 
Depuis 15 ans, la société n'a cessé d'évoluer. Avec 3 personnes en 2007, nous sommes aujourd'hui 260 collaborateurs engagés dans l'aventure RCA ! 
Description du poste
Tu rejoindras l'équipe Data de RCA, composée de 17 personnes (Data Engineers, PM, Analystes, ML, développeurs, etc.), au cœur de nos enjeux produit, cloud et performance. 
Ton rôle : En tant que Data Scientist, tu joueras un rôle central dans la conception de solutions data et IA au service de nos produits. Tu interviendras depuis l'exploration jusqu'à l'industrialisation, avec un impact direct sur les usages métiers. Tu participeras à la montée en maturité sur les sujets IA, qu'ils soient analytiques, prédictifs ou génératifs. 

Tes missions  
- Comprendre le contexte et les besoins métiers pour proposer des solutions adaptées et travailler dans une logique ""data as a product"" 
- Cadrer et réaliser des démarches itératives d'expérimentation sur les données 
- Proposer des solutions (text mining, modèles prédictifs, IA générative, etc) pour répondre aux enjeux métier 
- Concevoir et implémenter des méthodes de mesure de la performance des solutions 
- Accompagner les ingénieurs Data & ML dans l'industrialisation des solutions 
- Participer à la mise en place de la stack IA de RCA 
Stack  : AWS, Snowflake, Airflow, DBT, Python, SQL, Shell, GitLab CI, Holistics, ThoughtSpot..


Qualifications

Ton profil  
- Compétences clé : 
    - 2 ans d'expérience (hors formation) en tant que Data scientist ou Ingénieur Machine Learning 
    - Solide bagage mathématique et statistiques 
    - Aisance vis-à-vis des méthodes d'analyse et de nettoyage des données 
    - Maîtrise avancée de Python (Pandas, Scikit-learn, Mathplotlib, Seaborn, etc.), SQL et de leurs environnements de développement (IDE, notebooks) 
    - Capacité à vulgariser des concepts complexes auprès du métier 
    - Connaissance des principes et outils d'explicabilité (théorie des jeux, inférence causale, etc.)  
- Les ""Plus"" qui font la différence : 
    - Première expérience ou une forte curiosité pour l'IA générative ou agentique 
    - Notions de déploiement ou d'outils MLOps 
    - Etre l'aise avec les bonnes pratiques de développement (git, CI/CD, etc) 


Informations complémentaires

Poste en CDI basé à Saint-Herblain (jusqu'à 3 jours de télétravail possible) Process de recrutement : 1er échange en visio et 2e RDV physique avec test technique. 

Envie d'intégrer l'équipe ? Fais-nous confiance et rejoins l'aventure RCA !"
france-travail-api,201NJZC,https://candidat.francetravail.fr/offres/recherche/detail/201NJZC,Explainable AI for molecules-Data Scientist (H/F),SANOFI WINTHROP INDUSTRIE,94 - VITRY SUR SEINE,2025-12-15T13:11:44.341Z,CDI,prime,data scientist,"À propos du poste
Le poste consiste à devenir Doctorant au sein du Réseau Doctoral AiChemist, un programme Horizon 
Europe Marie Skodowska-Curie Actions. Affilié académiquement à l'École normale supérieure (ENS) 
Paris-PSL et co-encadré par Sanofi, le candidat se spécialisera dans l'intelligence artificielle 
explicable pour la découverte de médicaments. La thèse se concentre sur le développement de 
descripteurs quantiques explicables pour prédire la toxicité et le métabolisme des médicaments. Au 
sein du Réseau Doctoral, le candidat combinera 18 mois en tant qu'employé de l'ENS avec 18 mois 
en tant qu'employé de Sanofi, le positionnant à la pointe de la chimie computationnelle et de 
l'innovation pharmaceutique en Europe.

Êtes-vous prêt à façonner l'avenir de la médecine ? La course est lancée pour accélérer la découverte 
et le développement de médicaments afin de trouver des solutions pour les patients et leurs familles. 
Vos compétences pourraient être essentielles pour aider nos équipes à accélérer les progrès. 

Rejoignez notre groupe CADD en tant que Doctorant et vous rendrez l'Intelligence Artificielle 
Moléculaire plus explicable pour aider à découvrir de nouveaux médicaments plus rapidement.

Principales responsabilités : 
- Développer un pipeline computationnel pour générer une description par Fonction de Localisation 
Électronique (ELF) de petites molécules en utilisant des calculs de Mécanique Quantique et extraire 
les descripteurs correspondants. 
- Construire des représentations graphiques moléculaires qui vont au-delà de la connectivité atome liaison, en intégrant des points critiques et des caractéristiques dérivées de l'ELF pour encoder les 
liaisons, les doublets non liants et la délocalisation électronique. 
- Implémenter des Réseaux de Neurones Graphiques (GNN) qui encodent ces descripteurs pour 
produire des prédictions interprétables alignées avec le raisonnement chimique, particulièrement 
pour les mécanismes de réactivité et de toxicité. 
- Évaluer ces GNN en termes de performance prédictive et d'explicabilité sur plusieurs jeux de 
données internes. 
- Développer un pipeline computationnel pour générer des approximations de bonne qualité des 
descripteurs ELF avec un haut débit.

À propos de vous 
- Expérience : Parcours international, connaissance des molécules à potentiel médicamenteux 
- Compétences techniques et transversales : Chémo-informatique, programmation Python 
- Formation : Diplôme de Master en Pharmacie ou Chimie Computationnelle 
- Langues : Anglais (obligatoire), Français (souhaitable)"
france-travail-api,201LQLN,https://candidat.francetravail.fr/offres/recherche/detail/201LQLN,Data scientist (H/F),CELANEO IT,75 - PARIS 01,2025-12-11T17:37:11.267Z,CDI,Mensuel de 3166.0 Euros sur 12.0 mois,data scientist,Recherche homme ou femme pour le poste demandé
france-travail-api,200QTZZ,https://candidat.francetravail.fr/offres/recherche/detail/200QTZZ,Data Scientist H/F (H/F),AMILTONE,69 - VILLEURBANNE,2025-11-21T14:31:15.029Z,CDI,Annuel de 35000.0 Euros à 45000.0 Euros sur 12.0 mois,data scientist,"Qui sommes-nous ?

Nous sommes passionnés par les nouvelles technologies, et vous ?
Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et
ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation
digitale.

Pourquoi choisir Amiltone ?

Amiltone, plus qu'une entreprise, un état d'esprit ! Notre objectif ? Votre épanouissement professionnel !
Nous avons à cœur de :
Vous accompagner au mieux au travers d'un suivi personnalisé
Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière
Comprendre vos besoins et respecter nos engagements
Vous proposer des missions de qualité avec des technologies innovantes
Cultiver votre potentiel grâce à notre programme de développement personnel Addvise
Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances
sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights...

Vos missions ?
Intégré à nos équipes sur nos projets au forfait ou chez nos clients, vous interviendrez sur un projet de Data Scientist.
En tant que Data Scientist (H/F), vous assurez les missions suivantes :

- Rédaction de user stories et coordination avec les équipes techniques en Scrum
-  Conception de rapports Power BI avancés pour la Power Platform
- Intégration de données depuis SQL Server et déploiement de modèles 
-  Analyse des données

La stack technique :
AWS (Redshift, Glue), Snowflake
SAP S/4HANA
Talend
Power BI

Alors ? Prêt à devenir Amiltonien ?
N'hésitez pas à postuler si vous vous reconnaissez :
 - Diplômé d'un bac+5 (master en data), vous avez au moins 5 ans d'expérience en tant que Data Scientist.
- Vous aimez découvrir de nouveaux contextes fonctionnels et comprendre les objectifs des applications que vous développez.
- A l'aise dans une organisation agile et dans un contexte anglophone, vous faites preuve de rigueur.

Outre vos compétences techniques, nous nous intéressons également à votre potentiel et votre motivation.

Nos postes sont ouverts aux personnes en situation de handicap."
